Series	tas_TCR	blended_TCR	Had4_TCR
ACCESS1-0_r1i1p1	1.986	1.823	1.713
ACCESS1-3_r1i1p1	1.837	1.705	1.642
CCSM4_r1i1p1	1.575	1.435	1.345
CESM1-BGC_r1i1p1	1.559	1.414	1.311
CSIRO-Mk3-6-0_r1i1p1	1.784	1.696	1.562
CanESM2_r1i1p1	2.312	2.090	2.034
GFDL-CM3_r1i1p1	2.126	1.964	1.883
GFDL-ESM2G_r1i1p1	1.046	0.973	1.006
GFDL-ESM2M_r1i1p1	1.397	1.267	1.241
HadGEM2-ES_r1i1p1	2.525	2.270	2.146
IPSL-CM5A-LR_r1i1p1	1.710	1.563	1.564
IPSL-CM5A-MR_r1i1p1	2.104	1.926	1.874
IPSL-CM5B-LR_r1i1p1	1.620	1.488	1.388
MIROC-ESM_r1i1p1	2.326	2.137	2.049
MIROC5_r1i1p1	1.505	1.404	1.314
MPI-ESM-LR_r1i1p1	1.965	1.772	1.701
MPI-ESM-MR_r1i1p1	2.029	1.829	1.723
MRI-CGCM3_r1i1p1	1.574	1.445	1.399
NorESM1-ME_r1i1p1	1.379	1.254	1.178
NorESM1-M_r1i1p1	1.481	1.352	1.262
bcc-csm1-1_r1i1p1	1.947	1.819	1.678
