Series	tas_TCR	blended_TCR	Had4_TCR
ACCESS1-0_r1i1p1	1.900	1.735	1.639
ACCESS1-3_r1i1p1	1.780	1.648	1.575
CCSM4_r1i1p1	1.720	1.587	1.490
CESM1-BGC_r1i1p1	1.748	1.603	1.494
CSIRO-Mk3-6-0_r1i1p1	1.778	1.696	1.552
CanESM2_r1i1p1	2.435	2.187	2.086
GFDL-CM3_r1i1p1	2.170	2.003	1.942
GFDL-ESM2G_r1i1p1	1.172	1.088	1.091
GFDL-ESM2M_r1i1p1	1.521	1.385	1.324
HadGEM2-ES_r1i1p1	2.800	2.526	2.393
IPSL-CM5A-LR_r1i1p1	2.150	1.979	1.946
IPSL-CM5A-MR_r1i1p1	2.219	2.051	2.016
IPSL-CM5B-LR_r1i1p1	1.740	1.608	1.525
MIROC-ESM_r1i1p1	2.396	2.187	2.081
MIROC5_r1i1p1	1.558	1.458	1.368
MPI-ESM-LR_r1i1p1	2.083	1.892	1.828
MPI-ESM-MR_r1i1p1	2.233	2.028	1.959
MRI-CGCM3_r1i1p1	1.502	1.387	1.341
NorESM1-ME_r1i1p1	1.567	1.438	1.351
NorESM1-M_r1i1p1	1.472	1.351	1.274
bcc-csm1-1_r1i1p1	1.771	1.672	1.572
