Series	tas_TCR	blended_TCR	Had4_TCR
ACCESS1-0_r1i1p1	1.591	1.458	1.357
ACCESS1-3_r1i1p1	1.609	1.485	1.408
CCSM4_r1i1p1	1.559	1.452	1.346
CESM1-BGC_r1i1p1	1.619	1.507	1.401
CSIRO-Mk3-6-0_r1i1p1	1.832	1.748	1.588
CanESM2_r1i1p1	2.002	1.811	1.725
GFDL-CM3_r1i1p1	2.191	2.022	1.935
GFDL-ESM2G_r1i1p1	1.268	1.176	1.127
GFDL-ESM2M_r1i1p1	1.495	1.364	1.304
HadGEM2-ES_r1i1p1	2.106	1.891	1.761
IPSL-CM5A-LR_r1i1p1	1.794	1.651	1.634
IPSL-CM5A-MR_r1i1p1	1.842	1.718	1.685
IPSL-CM5B-LR_r1i1p1	1.582	1.457	1.362
MIROC-ESM_r1i1p1	1.721	1.587	1.510
MIROC5_r1i1p1	1.273	1.186	1.102
MPI-ESM-LR_r1i1p1	1.717	1.574	1.529
MPI-ESM-MR_r1i1p1	2.028	1.846	1.759
MRI-CGCM3_r1i1p1	1.352	1.269	1.252
NorESM1-ME_r1i1p1	1.341	1.245	1.181
NorESM1-M_r1i1p1	1.270	1.173	1.097
bcc-csm1-1_r1i1p1	1.796	1.686	1.545
