Series	tas_TCR	blended_TCR	Had4_TCR
OBS_HadCRUT4	1.337	1.337	1.337
OBS_CW14	1.449	1.449	1.449
OBS_BEST	1.421	1.421	1.421
ACCESS1-0_r1i1p1	2.139	1.949	1.770
ACCESS1-3_r1i1p1	1.143	1.030	0.913
CCSM4_r1i1p1	1.580	1.471	1.268
CCSM4_r2i1p1	1.632	1.519	1.307
CCSM4_r3i1p1	1.434	1.329	1.133
CCSM4_r4i1p1	1.530	1.426	1.266
CCSM4_r5i1p1	1.587	1.471	1.297
CCSM4_r6i1p1	1.584	1.473	1.261
CESM1-BGC_r1i1p1	2.238	2.076	1.806
CESM1-CAM5_r1i1p1	1.435	1.296	1.117
CESM1-CAM5_r2i1p1	1.266	1.146	0.929
CESM1-CAM5_r3i1p1	1.490	1.363	1.119
CMCC-CMS_r1i1p1	1.382	1.274	1.137
CMCC-CM_r1i1p1	1.681	1.558	1.308
CNRM-CM5_r10i1p1	2.477	2.192	1.765
CNRM-CM5_r1i1p1	2.154	1.910	1.681
CNRM-CM5_r2i1p1	1.973	1.761	1.418
CNRM-CM5_r4i1p1	2.105	1.881	1.378
CNRM-CM5_r6i1p1	2.278	2.030	1.576
CSIRO-Mk3-6-0_r10i1p1	3.181	2.977	2.312
CSIRO-Mk3-6-0_r1i1p1	3.081	2.885	2.306
CSIRO-Mk3-6-0_r2i1p1	2.850	2.666	2.432
CSIRO-Mk3-6-0_r3i1p1	3.147	2.974	2.604
CSIRO-Mk3-6-0_r4i1p1	2.478	2.303	2.166
CSIRO-Mk3-6-0_r5i1p1	2.472	2.300	1.803
CSIRO-Mk3-6-0_r6i1p1	2.481	2.325	1.843
CSIRO-Mk3-6-0_r7i1p1	3.645	3.427	2.947
CSIRO-Mk3-6-0_r8i1p1	2.717	2.521	2.005
CSIRO-Mk3-6-0_r9i1p1	2.459	2.289	1.956
CanESM2_r1i1p1	2.046	1.883	1.718
CanESM2_r2i1p1	1.781	1.638	1.389
CanESM2_r3i1p1	1.945	1.787	1.631
CanESM2_r4i1p1	2.053	1.911	1.686
CanESM2_r5i1p1	1.932	1.777	1.555
EC-EARTH_r12i1p1	1.981	1.813	1.632
EC-EARTH_r1i1p1	2.187	1.986	1.741
EC-EARTH_r2i1p1	2.132	1.924	1.712
EC-EARTH_r8i1p1	2.296	2.102	1.893
EC-EARTH_r9i1p1	2.150	1.967	1.868
FIO-ESM_r1i1p1	1.896	1.742	1.605
FIO-ESM_r2i1p1	1.955	1.804	1.568
FIO-ESM_r3i1p1	2.082	1.916	1.705
GFDL-CM3_r1i1p1	1.611	1.449	1.340
GFDL-ESM2G_r1i1p1	1.382	1.286	1.290
GFDL-ESM2M_r1i1p1	1.537	1.417	1.408
GISS-E2-H-CC_r1i1p1	2.352	2.135	1.898
GISS-E2-H_r1i1p1	2.066	1.873	1.617
GISS-E2-H_r1i1p2	1.863	1.691	1.370
GISS-E2-H_r1i1p3	2.033	1.849	1.576
GISS-E2-H_r2i1p1	2.027	1.831	1.547
GISS-E2-H_r2i1p3	2.355	2.147	1.726
GISS-E2-R-CC_r1i1p1	1.774	1.608	1.412
GISS-E2-R_r1i1p1	1.208	1.089	0.992
GISS-E2-R_r1i1p2	1.169	1.062	0.904
GISS-E2-R_r1i1p3	1.384	1.260	1.135
GISS-E2-R_r2i1p1	1.436	1.310	1.201
GISS-E2-R_r2i1p3	1.370	1.244	1.150
HadGEM2-AO_r1i1p1	1.649	1.493	1.294
HadGEM2-CC_r1i1p1	0.578	0.501	0.416
HadGEM2-ES_r1i1p1	2.611	2.343	2.121
HadGEM2-ES_r2i1p1	2.266	2.035	1.727
HadGEM2-ES_r3i1p1	2.560	2.316	1.877
HadGEM2-ES_r4i1p1	2.971	2.691	2.279
IPSL-CM5A-LR_r1i1p1	2.344	2.179	2.259
IPSL-CM5A-LR_r2i1p1	2.509	2.333	2.277
IPSL-CM5A-LR_r3i1p1	2.246	2.091	2.153
IPSL-CM5A-LR_r4i1p1	2.520	2.338	2.266
IPSL-CM5A-MR_r1i1p1	2.181	2.021	1.997
IPSL-CM5B-LR_r1i1p1	2.003	1.876	1.768
MIROC-ESM-CHEM_r1i1p1	1.681	1.533	1.199
MIROC-ESM_r1i1p1	2.445	2.233	1.718
MIROC5_r1i1p1	1.481	1.397	1.223
MIROC5_r2i1p1	1.597	1.515	1.223
MIROC5_r3i1p1	1.659	1.559	1.285
MPI-ESM-LR_r1i1p1	1.686	1.530	1.472
MPI-ESM-LR_r2i1p1	1.851	1.695	1.629
MPI-ESM-LR_r3i1p1	1.679	1.520	1.517
MPI-ESM-MR_r1i1p1	1.996	1.816	1.775
MRI-CGCM3_r1i1p1	1.828	1.703	1.483
MRI-ESM1_r1i1p1	1.284	1.196	1.103
NorESM1-ME_r1i1p1	1.644	1.530	1.315
NorESM1-M_r1i1p1	1.596	1.482	1.326
bcc-csm1-1_r1i1p1	2.064	2.007	1.859
inmcm4_r1i1p1	1.352	1.224	1.091
