Series	tas_TCR	blended_TCR	Had4_TCR
OBS_HadCRUT4	1.476	1.476	1.476
OBS_CW14	1.571	1.571	1.571
OBS_BEST	1.613	1.613	1.613
ACCESS1-0_r1i1p1	2.307	2.131	1.940
ACCESS1-3_r1i1p1	1.277	1.158	0.997
CCSM4_r1i1p1	1.758	1.640	1.411
CCSM4_r2i1p1	1.783	1.662	1.470
CCSM4_r3i1p1	1.640	1.528	1.333
CCSM4_r4i1p1	1.730	1.617	1.441
CCSM4_r5i1p1	1.770	1.645	1.446
CCSM4_r6i1p1	1.753	1.631	1.444
CESM1-BGC_r1i1p1	2.487	2.314	2.047
CESM1-CAM5_r1i1p1	1.592	1.452	1.246
CESM1-CAM5_r2i1p1	1.501	1.369	1.141
CESM1-CAM5_r3i1p1	1.712	1.571	1.285
CMCC-CMS_r1i1p1	1.251	1.150	1.056
CMCC-CM_r1i1p1	1.465	1.352	1.169
CNRM-CM5_r10i1p1	2.429	2.163	1.809
CNRM-CM5_r1i1p1	1.937	1.724	1.475
CNRM-CM5_r2i1p1	2.006	1.799	1.493
CNRM-CM5_r4i1p1	2.328	2.093	1.729
CNRM-CM5_r6i1p1	2.191	1.960	1.643
CSIRO-Mk3-6-0_r10i1p1	2.397	2.264	1.993
CSIRO-Mk3-6-0_r1i1p1	2.521	2.387	2.185
CSIRO-Mk3-6-0_r2i1p1	2.614	2.470	2.252
CSIRO-Mk3-6-0_r3i1p1	2.686	2.540	2.339
CSIRO-Mk3-6-0_r4i1p1	2.461	2.326	2.079
CSIRO-Mk3-6-0_r5i1p1	2.799	2.645	2.294
CSIRO-Mk3-6-0_r6i1p1	2.480	2.354	1.986
CSIRO-Mk3-6-0_r7i1p1	2.283	2.156	1.920
CSIRO-Mk3-6-0_r8i1p1	2.652	2.503	2.297
CSIRO-Mk3-6-0_r9i1p1	1.955	1.852	1.669
CanESM2_r1i1p1	2.273	2.099	1.895
CanESM2_r2i1p1	2.026	1.865	1.647
CanESM2_r3i1p1	2.096	1.931	1.752
CanESM2_r4i1p1	2.146	1.996	1.837
CanESM2_r5i1p1	2.168	2.001	1.822
EC-EARTH_r12i1p1	2.156	1.972	1.790
EC-EARTH_r1i1p1	2.286	2.086	1.877
EC-EARTH_r2i1p1	2.280	2.069	1.839
EC-EARTH_r8i1p1	2.460	2.248	1.984
EC-EARTH_r9i1p1	2.355	2.158	1.950
FIO-ESM_r1i1p1	1.990	1.824	1.629
FIO-ESM_r2i1p1	1.884	1.731	1.565
FIO-ESM_r3i1p1	2.128	1.958	1.752
GFDL-CM3_r1i1p1	1.863	1.699	1.516
GFDL-ESM2G_r1i1p1	1.513	1.410	1.400
GFDL-ESM2M_r1i1p1	1.618	1.503	1.496
GISS-E2-H-CC_r1i1p1	2.492	2.272	2.014
GISS-E2-H_r1i1p1	2.109	1.917	1.625
GISS-E2-H_r1i1p2	1.851	1.668	1.341
GISS-E2-H_r1i1p3	2.234	2.033	1.733
GISS-E2-H_r2i1p1	2.100	1.905	1.588
GISS-E2-H_r2i1p3	2.539	2.322	1.917
GISS-E2-R-CC_r1i1p1	1.822	1.655	1.485
GISS-E2-R_r1i1p1	1.319	1.195	1.070
GISS-E2-R_r1i1p2	1.246	1.126	0.949
GISS-E2-R_r1i1p3	1.390	1.263	1.145
GISS-E2-R_r2i1p1	1.480	1.349	1.226
GISS-E2-R_r2i1p3	1.575	1.438	1.297
HadGEM2-AO_r1i1p1	1.689	1.527	1.337
HadGEM2-CC_r1i1p1	0.843	0.753	0.649
HadGEM2-ES_r1i1p1	2.595	2.359	2.187
HadGEM2-ES_r2i1p1	2.687	2.456	2.235
HadGEM2-ES_r3i1p1	2.482	2.267	1.972
HadGEM2-ES_r4i1p1	3.044	2.799	2.523
IPSL-CM5A-LR_r1i1p1	2.465	2.282	2.282
IPSL-CM5A-LR_r2i1p1	2.513	2.330	2.266
IPSL-CM5A-LR_r3i1p1	2.368	2.202	2.218
IPSL-CM5A-LR_r4i1p1	2.484	2.305	2.295
IPSL-CM5A-MR_r1i1p1	2.257	2.102	2.075
IPSL-CM5B-LR_r1i1p1	2.170	2.023	1.831
MIROC-ESM-CHEM_r1i1p1	1.778	1.630	1.376
MIROC-ESM_r1i1p1	2.267	2.094	1.776
MIROC5_r1i1p1	1.573	1.486	1.363
MIROC5_r2i1p1	1.715	1.625	1.463
MIROC5_r3i1p1	1.801	1.708	1.533
MPI-ESM-LR_r1i1p1	1.921	1.751	1.614
MPI-ESM-LR_r2i1p1	2.026	1.851	1.731
MPI-ESM-LR_r3i1p1	1.754	1.588	1.521
MPI-ESM-MR_r1i1p1	2.252	2.051	1.994
MRI-CGCM3_r1i1p1	1.915	1.792	1.564
MRI-ESM1_r1i1p1	1.457	1.363	1.235
NorESM1-ME_r1i1p1	1.610	1.492	1.336
NorESM1-M_r1i1p1	1.879	1.751	1.633
bcc-csm1-1_r1i1p1	2.010	1.928	1.723
inmcm4_r1i1p1	1.484	1.349	1.219
