Series	tas_TCR	blended_TCR	Had4_TCR
OBS_HadCRUT4	1.174	1.174	1.174
OBS_CW14	1.225	1.225	1.225
OBS_BEST	1.171	1.171	1.171
ACCESS1-0_r1i1p1	1.449	1.338	1.314
ACCESS1-3_r1i1p1	1.316	1.211	1.085
CCSM4_r1i1p1	1.315	1.221	1.137
CCSM4_r2i1p1	1.517	1.417	1.316
CCSM4_r3i1p1	1.175	1.090	1.033
CCSM4_r4i1p1	1.333	1.249	1.167
CCSM4_r5i1p1	1.452	1.361	1.292
CCSM4_r6i1p1	1.429	1.334	1.243
CESM1-BGC_r1i1p1	1.843	1.706	1.566
CESM1-CAM5_r1i1p1	1.314	1.209	1.097
CESM1-CAM5_r2i1p1	1.424	1.312	1.208
CESM1-CAM5_r3i1p1	1.603	1.487	1.365
CMCC-CMS_r1i1p1	1.640	1.527	1.477
CMCC-CM_r1i1p1	1.485	1.380	1.334
CNRM-CM5_r10i1p1	2.317	2.105	1.874
CNRM-CM5_r1i1p1	1.744	1.592	1.459
CNRM-CM5_r2i1p1	1.388	1.273	1.205
CNRM-CM5_r4i1p1	1.642	1.501	1.430
CNRM-CM5_r6i1p1	1.861	1.677	1.469
CSIRO-Mk3-6-0_r10i1p1	1.452	1.370	1.359
CSIRO-Mk3-6-0_r1i1p1	1.828	1.743	1.640
CSIRO-Mk3-6-0_r2i1p1	1.757	1.656	1.527
CSIRO-Mk3-6-0_r3i1p1	2.037	1.944	1.824
CSIRO-Mk3-6-0_r4i1p1	1.849	1.749	1.612
CSIRO-Mk3-6-0_r5i1p1	1.619	1.537	1.479
CSIRO-Mk3-6-0_r6i1p1	1.501	1.440	1.316
CSIRO-Mk3-6-0_r7i1p1	1.886	1.787	1.642
CSIRO-Mk3-6-0_r8i1p1	1.923	1.830	1.685
CSIRO-Mk3-6-0_r9i1p1	1.113	1.055	1.014
CanESM2_r1i1p1	1.982	1.832	1.696
CanESM2_r2i1p1	1.834	1.700	1.569
CanESM2_r3i1p1	1.877	1.735	1.612
CanESM2_r4i1p1	1.854	1.742	1.707
CanESM2_r5i1p1	1.864	1.721	1.594
EC-EARTH_r12i1p1	1.319	1.211	1.118
EC-EARTH_r1i1p1	1.687	1.549	1.406
EC-EARTH_r2i1p1	1.175	1.043	0.937
EC-EARTH_r8i1p1	1.608	1.467	1.330
EC-EARTH_r9i1p1	1.583	1.460	1.354
FIO-ESM_r1i1p1	1.343	1.225	1.062
FIO-ESM_r2i1p1	1.237	1.150	1.071
FIO-ESM_r3i1p1	1.443	1.327	1.250
GFDL-CM3_r1i1p1	1.537	1.409	1.290
GFDL-ESM2G_r1i1p1	1.333	1.240	1.205
GFDL-ESM2M_r1i1p1	1.337	1.248	1.248
GISS-E2-H-CC_r1i1p1	1.685	1.539	1.435
GISS-E2-H_r1i1p1	1.308	1.183	1.149
GISS-E2-H_r1i1p2	1.569	1.438	1.274
GISS-E2-H_r1i1p3	1.585	1.453	1.414
GISS-E2-H_r2i1p1	1.415	1.294	1.188
GISS-E2-H_r2i1p3	1.669	1.527	1.371
GISS-E2-R-CC_r1i1p1	1.521	1.396	1.365
GISS-E2-R_r1i1p1	1.020	0.942	0.926
GISS-E2-R_r1i1p2	1.026	0.949	0.944
GISS-E2-R_r1i1p3	1.339	1.244	1.241
GISS-E2-R_r2i1p1	1.141	1.061	1.062
GISS-E2-R_r2i1p3	1.133	1.049	1.027
HadGEM2-AO_r1i1p1	2.015	1.845	1.671
HadGEM2-CC_r1i1p1	1.271	1.173	1.084
HadGEM2-ES_r1i1p1	2.308	2.107	1.979
HadGEM2-ES_r2i1p1	2.081	1.910	1.769
HadGEM2-ES_r3i1p1	1.769	1.643	1.471
HadGEM2-ES_r4i1p1	2.441	2.272	2.089
IPSL-CM5A-LR_r1i1p1	2.253	2.103	2.033
IPSL-CM5A-LR_r2i1p1	2.468	2.320	2.272
IPSL-CM5A-LR_r3i1p1	1.906	1.785	1.772
IPSL-CM5A-LR_r4i1p1	1.968	1.829	1.880
IPSL-CM5A-MR_r1i1p1	1.895	1.777	1.804
IPSL-CM5B-LR_r1i1p1	1.123	1.057	1.009
MIROC-ESM-CHEM_r1i1p1	1.314	1.214	1.096
MIROC-ESM_r1i1p1	1.734	1.621	1.551
MIROC5_r1i1p1	1.545	1.469	1.370
MIROC5_r2i1p1	1.391	1.330	1.301
MIROC5_r3i1p1	1.310	1.229	1.176
MPI-ESM-LR_r1i1p1	1.540	1.389	1.363
MPI-ESM-LR_r2i1p1	1.764	1.635	1.595
MPI-ESM-LR_r3i1p1	1.549	1.417	1.400
MPI-ESM-MR_r1i1p1	1.581	1.447	1.483
MRI-CGCM3_r1i1p1	1.160	1.079	0.929
MRI-ESM1_r1i1p1	0.974	0.922	0.898
NorESM1-ME_r1i1p1	1.493	1.399	1.328
NorESM1-M_r1i1p1	1.418	1.326	1.237
bcc-csm1-1_r1i1p1	1.870	1.799	1.661
inmcm4_r1i1p1	1.282	1.167	1.084
