Series	tas_TCR	blended_TCR	Had4_TCR
ACCESS1-0_r1i1p1	1.979	1.811	1.698
ACCESS1-3_r1i1p1	1.824	1.688	1.628
CCSM4_r1i1p1	1.615	1.469	1.375
CESM1-BGC_r1i1p1	1.567	1.422	1.320
CSIRO-Mk3-6-0_r1i1p1	1.780	1.692	1.566
CanESM2_r1i1p1	2.345	2.117	2.059
GFDL-CM3_r1i1p1	2.141	1.980	1.900
GFDL-ESM2G_r1i1p1	1.069	0.991	1.016
GFDL-ESM2M_r1i1p1	1.388	1.260	1.227
HadGEM2-ES_r1i1p1	2.529	2.274	2.147
IPSL-CM5A-LR_r1i1p1	1.694	1.548	1.548
IPSL-CM5A-MR_r1i1p1	2.085	1.907	1.862
IPSL-CM5B-LR_r1i1p1	1.627	1.492	1.391
MIROC-ESM_r1i1p1	2.327	2.133	2.040
MIROC5_r1i1p1	1.513	1.409	1.315
MPI-ESM-LR_r1i1p1	1.997	1.802	1.735
MPI-ESM-MR_r1i1p1	2.042	1.839	1.737
MRI-CGCM3_r1i1p1	1.583	1.453	1.401
NorESM1-ME_r1i1p1	1.387	1.261	1.186
NorESM1-M_r1i1p1	1.469	1.341	1.251
bcc-csm1-1_r1i1p1	1.921	1.797	1.653
