Series	tas_TCR	blended_TCR	Had4_TCR
OBS_HadCRUT4	1.358	1.358	1.358
OBS_CW14	1.489	1.489	1.489
OBS_BEST	1.487	1.487	1.487
ACCESS1-0_r1i1p1	2.698	2.430	2.050
ACCESS1-3_r1i1p1	0.906	0.794	0.679
CCSM4_r1i1p1	1.563	1.452	1.195
CCSM4_r2i1p1	1.632	1.514	1.249
CCSM4_r3i1p1	1.511	1.399	1.128
CCSM4_r4i1p1	1.574	1.459	1.261
CCSM4_r5i1p1	1.598	1.475	1.259
CCSM4_r6i1p1	1.630	1.512	1.235
CESM1-BGC_r1i1p1	2.430	2.254	1.890
CESM1-CAM5_r1i1p1	1.385	1.230	1.004
CESM1-CAM5_r2i1p1	1.083	0.959	0.666
CESM1-CAM5_r3i1p1	1.261	1.132	0.796
CMCC-CMS_r1i1p1	1.174	1.063	0.873
CMCC-CM_r1i1p1	1.643	1.518	1.131
CNRM-CM5_r10i1p1	2.388	2.071	1.520
CNRM-CM5_r1i1p1	2.117	1.837	1.561
CNRM-CM5_r2i1p1	2.089	1.826	1.377
CNRM-CM5_r4i1p1	2.384	2.088	1.267
CNRM-CM5_r6i1p1	2.142	1.869	1.324
CSIRO-Mk3-6-0_r10i1p1	5.572	5.180	3.471
CSIRO-Mk3-6-0_r1i1p1	4.585	4.223	2.891
CSIRO-Mk3-6-0_r2i1p1	3.383	3.090	2.686
CSIRO-Mk3-6-0_r3i1p1	4.647	4.339	3.470
CSIRO-Mk3-6-0_r4i1p1	2.360	2.102	1.958
CSIRO-Mk3-6-0_r5i1p1	3.248	2.963	1.737
CSIRO-Mk3-6-0_r6i1p1	4.106	3.803	2.667
CSIRO-Mk3-6-0_r7i1p1	5.551	5.169	4.210
CSIRO-Mk3-6-0_r8i1p1	3.779	3.452	2.229
CSIRO-Mk3-6-0_r9i1p1	4.876	4.515	3.700
CanESM2_r1i1p1	2.031	1.860	1.675
CanESM2_r2i1p1	1.727	1.568	1.193
CanESM2_r3i1p1	1.897	1.734	1.569
CanESM2_r4i1p1	2.114	1.942	1.535
CanESM2_r5i1p1	1.904	1.743	1.452
EC-EARTH_r12i1p1	2.346	2.151	1.939
EC-EARTH_r1i1p1	2.448	2.220	1.922
EC-EARTH_r2i1p1	2.604	2.361	2.107
EC-EARTH_r8i1p1	2.575	2.353	2.136
EC-EARTH_r9i1p1	2.398	2.187	2.114
FIO-ESM_r1i1p1	2.347	2.156	2.012
FIO-ESM_r2i1p1	2.274	2.089	1.759
FIO-ESM_r3i1p1	2.549	2.350	2.052
GFDL-CM3_r1i1p1	1.196	1.001	0.875
GFDL-ESM2G_r1i1p1	1.386	1.275	1.311
GFDL-ESM2M_r1i1p1	1.412	1.296	1.268
GISS-E2-H-CC_r1i1p1	2.710	2.448	2.125
GISS-E2-H_r1i1p1	2.489	2.259	1.860
GISS-E2-H_r1i1p2	1.950	1.751	1.321
GISS-E2-H_r1i1p3	2.168	1.955	1.532
GISS-E2-H_r2i1p1	2.354	2.116	1.727
GISS-E2-H_r2i1p3	2.715	2.466	1.879
GISS-E2-R-CC_r1i1p1	1.899	1.714	1.425
GISS-E2-R_r1i1p1	1.265	1.126	0.979
GISS-E2-R_r1i1p2	1.176	1.050	0.789
GISS-E2-R_r1i1p3	1.301	1.164	0.956
GISS-E2-R_r2i1p1	1.575	1.423	1.241
GISS-E2-R_r2i1p3	1.488	1.338	1.197
HadGEM2-AO_r1i1p1	1.209	1.071	0.846
HadGEM2-CC_r1i1p1	0.127	0.061	-0.015
HadGEM2-ES_r1i1p1	2.853	2.501	2.109
HadGEM2-ES_r2i1p1	2.090	1.774	1.193
HadGEM2-ES_r3i1p1	3.388	2.969	2.104
HadGEM2-ES_r4i1p1	3.325	2.891	2.019
IPSL-CM5A-LR_r1i1p1	2.240	2.071	2.223
IPSL-CM5A-LR_r2i1p1	2.404	2.218	2.137
IPSL-CM5A-LR_r3i1p1	2.273	2.101	2.202
IPSL-CM5A-LR_r4i1p1	2.608	2.417	2.294
IPSL-CM5A-MR_r1i1p1	2.241	2.062	2.015
IPSL-CM5B-LR_r1i1p1	2.487	2.320	2.182
MIROC-ESM-CHEM_r1i1p1	1.900	1.723	1.264
MIROC-ESM_r1i1p1	2.612	2.361	1.583
MIROC5_r1i1p1	1.300	1.209	0.962
MIROC5_r2i1p1	1.691	1.595	1.048
MIROC5_r3i1p1	1.698	1.588	1.125
MPI-ESM-LR_r1i1p1	1.776	1.611	1.522
MPI-ESM-LR_r2i1p1	1.897	1.730	1.667
MPI-ESM-LR_r3i1p1	1.663	1.496	1.499
MPI-ESM-MR_r1i1p1	2.171	1.968	1.876
MRI-CGCM3_r1i1p1	1.849	1.719	1.486
MRI-ESM1_r1i1p1	1.416	1.306	1.169
NorESM1-ME_r1i1p1	1.439	1.323	1.023
NorESM1-M_r1i1p1	1.641	1.516	1.324
bcc-csm1-1_r1i1p1	2.031	1.976	1.770
inmcm4_r1i1p1	1.276	1.153	1.008
