Year	ACCESS1-0	bcc-csm1-1-m	bcc-csm1-1	CanESM2	CCSM4	CNRM-CM5	CSIRO-Mk3-6-0	FGOALS-s2	GFDL-CM3	GFDL-ESM2G	GFDL-ESM2M	GISS-E2-R	HadGEM2-ES	inmcm4	IPSL-CM5A-LR	MIROC-ESM	MIROC5	MPI-ESM-LR	MRI-CGCM3	NorESM1-M
1861	0.015	0.253	-0.039	-0.004	0.051	0.071	0.032	-0.050	0.040	-0.006	-0.388	0.074	0.051	0.126	0.109	0.124	-0.031	0.096	0.086	0.042
1862	0.033	0.353	0.082	-0.045	0.117	0.020	-0.013	-0.185	0.033	0.008	-0.312	0.018	0.003	0.083	0.126	0.058	0.038	0.056	0.102	0.332
1863	-0.113	0.254	-0.017	-0.014	0.003	-0.056	-0.014	-0.042	-0.255	0.100	-0.236	0.002	-0.051	0.037	0.086	-0.106	-0.010	0.051	-0.015	0.208
1864	-0.030	0.139	0.026	0.026	0.014	-0.097	0.004	-0.169	-0.533	0.299	-0.180	0.099	-0.063	-0.004	0.052	0.011	-0.013	0.150	0.119	-0.059
1865	-0.110	0.147	0.119	0.159	0.119	-0.065	0.083	-0.133	-0.308	0.042	0.005	0.174	-0.017	0.149	0.089	0.161	0.071	0.207	-0.033	-0.056
1866	-0.049	0.302	0.200	0.197	0.129	-0.030	0.091	0.167	-0.272	0.040	0.287	0.188	-0.014	-0.009	0.129	0.315	0.102	0.219	-0.007	-0.059
1867	0.061	0.140	0.216	0.304	0.033	-0.018	0.113	0.233	-0.377	0.123	0.315	0.249	0.058	0.052	0.149	0.414	0.134	0.323	-0.143	-0.207
1868	0.188	0.226	0.392	0.273	-0.006	0.051	0.109	0.197	-0.273	0.018	0.236	0.285	0.096	0.060	0.172	0.361	0.158	0.286	-0.012	-0.246
1869	0.079	0.255	0.456	0.250	0.023	0.109	0.180	0.218	-0.087	-0.066	0.255	0.247	0.144	-0.004	0.126	0.193	0.125	0.240	-0.094	0.095
1870	0.111	0.206	0.411	0.256	0.050	0.084	0.249	0.186	-0.056	-0.107	0.234	0.270	0.170	-0.032	0.157	0.063	0.120	0.245	0.076	0.167
1871	-0.016	0.148	0.502	0.238	-0.022	0.065	0.263	0.035	-0.037	-0.101	0.167	0.323	0.219	0.117	0.155	0.055	0.125	0.234	0.069	0.126
1872	-0.029	0.237	0.429	0.220	0.020	0.079	0.243	0.083	0.023	-0.132	0.013	0.292	0.196	0.097	0.154	0.063	0.097	0.249	0.281	0.147
1873	0.062	0.204	0.519	0.245	0.135	0.070	0.260	0.222	0.118	-0.177	-0.051	0.274	0.183	0.187	0.150	0.037	0.162	0.309	0.365	0.257
1874	-0.071	0.516	0.349	0.238	0.232	0.065	0.191	0.234	-0.045	-0.280	-0.090	0.249	0.101	0.283	0.193	0.149	0.128	0.245	0.389	0.045
1875	-0.131	0.462	0.401	0.193	0.050	0.040	0.111	0.192	0.027	-0.144	-0.076	0.181	0.070	0.058	0.198	0.059	0.113	0.126	0.371	-0.005
1876	0.059	0.563	0.445	0.153	0.063	0.030	0.099	0.220	0.092	0.020	-0.176	0.166	-0.018	0.037	0.171	0.070	0.110	0.072	0.516	0.049
1877	-0.046	0.492	0.531	0.102	0.124	0.101	0.066	0.343	0.023	-0.032	-0.133	0.151	-0.038	0.089	0.108	-0.048	0.095	0.009	0.429	0.030
1878	-0.112	0.654	0.489	0.131	0.131	0.108	0.068	0.319	0.093	-0.090	-0.142	0.217	-0.057	0.139	0.177	-0.037	0.060	0.004	0.340	0.019
1879	0.029	0.449	0.522	0.103	0.059	0.105	0.097	0.272	0.304	0.013	0.073	0.229	-0.020	0.184	0.241	-0.045	0.116	0.101	0.349	0.062
1880	0.014	0.435	0.482	0.136	0.116	0.157	0.060	0.273	0.320	0.001	0.108	0.297	0.013	0.357	0.276	0.024	0.150	0.162	0.372	0.189
1881	-0.341	0.339	0.108	0.085	-0.125	-0.010	-0.138	0.108	0.029	-0.215	-0.126	0.108	-0.030	0.337	0.121	-0.247	0.051	-0.071	0.060	-0.049
1882	-0.593	-0.338	-0.571	-0.098	-0.770	-0.660	-0.566	-0.527	-0.406	-0.875	-0.714	-0.484	-0.365	0.428	-0.410	-0.749	-0.349	-0.591	-0.308	-0.428
1883	-0.698	-0.760	-0.754	-0.505	-0.980	-0.829	-0.710	-0.714	-0.750	-1.085	-0.749	-0.742	-0.492	0.204	-0.622	-0.733	-0.619	-0.731	-0.356	-0.525
1884	-0.846	-0.657	-0.760	-0.796	-0.944	-0.793	-0.836	-0.777	-1.026	-1.300	-0.999	-0.863	-0.639	0.175	-0.721	-0.820	-0.734	-0.816	-0.486	-0.400
1885	-0.798	-0.597	-0.688	-0.814	-0.887	-0.750	-0.858	-0.733	-1.091	-1.448	-1.259	-0.988	-0.734	0.214	-0.888	-0.970	-0.801	-0.881	-0.593	-0.361
1886	-0.608	-0.606	-0.486	-0.816	-0.466	-0.525	-0.699	-0.660	-0.989	-1.249	-1.048	-0.812	-0.654	0.170	-0.798	-0.754	-0.713	-0.709	-0.328	-0.031
1887	-0.321	0.182	0.089	-0.661	0.210	0.054	-0.248	-0.200	-0.487	-0.718	-0.477	-0.238	-0.356	0.041	-0.316	-0.222	-0.410	-0.313	-0.032	0.249
1888	-0.359	0.129	-0.113	-0.445	0.094	0.025	-0.177	-0.321	-0.504	-0.338	-0.493	-0.188	-0.374	0.108	-0.194	-0.263	-0.298	-0.318	-0.014	0.018
1889	-0.246	-0.170	-0.363	-0.200	-0.046	-0.141	-0.166	-0.462	-0.550	-0.425	-0.499	-0.182	-0.314	0.008	-0.226	-0.285	-0.275	-0.336	0.141	-0.154
1890	-0.230	-0.125	-0.419	-0.193	-0.189	-0.225	-0.151	-0.431	-0.594	-0.277	-0.254	-0.108	-0.278	0.049	-0.102	-0.089	-0.315	-0.306	0.299	-0.443
1891	-0.149	-0.189	-0.325	-0.049	-0.393	-0.237	-0.085	-0.269	-0.535	-0.391	-0.047	-0.078	-0.317	0.192	-0.020	-0.146	-0.343	-0.178	0.199	-0.533
1892	-0.099	-0.138	-0.306	0.032	-0.463	-0.183	-0.024	-0.306	-0.655	-0.229	0.194	-0.023	-0.183	0.178	0.058	-0.088	-0.213	-0.005	0.288	-0.230
1893	0.089	0.415	0.013	0.174	-0.167	0.011	0.064	-0.084	-0.506	-0.231	0.488	0.151	0.070	0.178	0.118	-0.102	-0.030	0.126	0.426	0.134
1894	0.088	0.515	0.289	0.156	-0.125	0.152	0.148	0.231	-0.230	0.040	0.325	0.193	0.097	0.214	0.195	-0.042	0.016	0.128	0.422	0.087
1895	0.079	0.422	0.309	0.124	0.081	0.170	0.118	0.151	-0.312	-0.082	0.187	0.228	0.022	0.185	0.106	-0.204	0.018	0.159	0.253	0.341
1896	-0.045	0.585	0.225	0.097	0.367	0.142	-0.013	-0.132	-0.245	-0.195	0.427	0.111	0.063	0.173	0.069	-0.145	-0.034	0.126	0.301	0.339
