Tchange	Terror	F05	F50	F95	bmTCR05	bmTCR50	bmTCR95	tasTCR05	tasTCR50	tasTCR95
0.75	0.20	1.697	1.940	2.157	0.968	1.338	1.744	1.175	1.659	2.228	
0.75	0.20	1.455	1.940	2.375	0.939	1.340	1.889	1.142	1.664	2.399	
0.75	0.20	1.212	1.940	2.593	0.896	1.341	2.171	1.091	1.667	2.739	
0.75	0.20	0.970	1.940	2.810	0.846	1.339	2.635	1.033	1.666	3.306	
0.75	0.20	0.727	1.940	3.028	0.788	1.332	3.295	0.963	1.659	4.132	
0.75	0.20	0.485	1.940	3.246	0.719	1.317	4.115	0.877	1.639	5.141	
0.75	0.20	0.242	1.940	3.463	0.624	1.289	4.902	0.761	1.605	6.117	
0.75	0.20	-0.000	1.940	3.681	-0.533	1.249	5.586	-0.650	1.555	6.962	
0.75	0.20	0.970	1.940	2.810	0.951	1.334	2.554	1.152	1.664	3.207	
0.75	0.20	0.970	1.940	2.810	0.929	1.335	2.570	1.127	1.664	3.227	
0.75	0.20	0.970	1.940	2.810	0.892	1.337	2.598	1.086	1.665	3.260	
0.75	0.20	0.970	1.940	2.810	0.847	1.340	2.635	1.033	1.667	3.309	
0.75	0.20	0.970	1.940	2.810	0.792	1.341	2.682	0.969	1.668	3.363	
0.75	0.20	0.970	1.940	2.810	0.729	1.343	2.738	0.894	1.669	3.434	
0.75	0.20	0.970	1.940	2.810	0.662	1.345	2.798	0.812	1.671	3.511	
0.75	0.20	0.970	1.940	2.810	0.590	1.346	2.868	0.726	1.672	3.597	
