Tchange	Terror	F05	F50	F95	bmTCR05	bmTCR50	bmTCR95	tasTCR05	tasTCR50	tasTCR95
0.75	0.20	1.697	1.940	2.157	0.967	1.338	1.744	1.195	1.653	2.156	
0.75	0.20	1.455	1.940	2.375	0.940	1.341	1.889	1.161	1.657	2.335	
0.75	0.20	1.212	1.940	2.593	0.895	1.341	2.172	1.106	1.656	2.685	
0.75	0.20	0.970	1.940	2.810	0.846	1.339	2.639	1.045	1.655	3.262	
0.75	0.20	0.727	1.940	3.028	0.788	1.332	3.297	0.973	1.646	4.072	
0.75	0.20	0.485	1.940	3.246	0.717	1.317	4.109	0.886	1.627	5.079	
0.75	0.20	0.242	1.940	3.463	0.625	1.288	4.903	0.772	1.591	6.059	
0.75	0.20	-0.000	1.940	3.681	-0.581	1.249	5.587	-0.714	1.543	6.901	
0.75	0.20	0.970	1.940	2.810	0.951	1.334	2.554	1.174	1.648	3.156	
0.75	0.20	0.970	1.940	2.810	0.928	1.335	2.569	1.146	1.650	3.175	
0.75	0.20	0.970	1.940	2.810	0.893	1.337	2.601	1.103	1.652	3.215	
0.75	0.20	0.970	1.940	2.810	0.846	1.340	2.637	1.045	1.656	3.260	
0.75	0.20	0.970	1.940	2.810	0.791	1.341	2.683	0.977	1.657	3.315	
0.75	0.20	0.970	1.940	2.810	0.730	1.344	2.740	0.902	1.660	3.386	
0.75	0.20	0.970	1.940	2.810	0.662	1.345	2.804	0.817	1.662	3.465	
0.75	0.20	0.970	1.940	2.810	0.589	1.345	2.866	0.728	1.663	3.542	
