start	end	tasTCR	pctile	xaxTCR	pctile	had4TCR	pctile					 HadCRUT4_TCR
1861-1880	1970-2009	2.09	0.21	1.85	0.27	1.53	0.46	1.489
1861-1880	1970-1979	1.64	0.27	1.49	0.30	1.12	0.55	1.183
1861-1880	1980-1989	2.16	0.18	1.90	0.30	1.45	0.55	1.524
1861-1880	1990-1999	2.11	0.27	1.90	0.42	1.56	0.56	1.715
1861-1880	2000-2009	1.98	0.17	1.81	0.21	1.58	0.42	1.449
1880-1899	1970-2009	1.81	0.15	1.66	0.21	1.47	0.37	1.309
1880-1899	1970-1979	1.53	0.18	1.38	0.21	1.15	0.30	1.0
1880-1899	1980-1989	1.88	0.15	1.69	0.21	1.47	0.37	1.3
1880-1899	1990-1999	1.86	0.25	1.70	0.32	1.50	0.49	1.492
1880-1899	2000-2009	1.80	0.13	1.64	0.18	1.46	0.33	1.333
1900-1919	1970-2009	1.95	0.30	1.76	0.44	1.55	0.63	1.708
1900-1919	1970-1979	1.76	0.35	1.63	0.44	1.33	0.63	1.534
1900-1919	1980-1989	2.08	0.35	1.91	0.42	1.62	0.61	1.801
1900-1919	1990-1999	1.98	0.45	1.81	0.60	1.57	0.74	1.939
1900-1919	2000-2009	1.86	0.23	1.72	0.38	1.53	0.54	1.585
