Latitude	Global	masked_2000-2009	masked_1861-1880
-87.5	0.0023	0.0015	0.0014
-82.5	0.0093	0.0058	0.0055
-77.5	0.0211	0.0132	0.0123
-72.5	0.0376	0.0232	0.0218
-67.5	0.0588	0.0375	0.0338
-62.5	0.0799	0.0570	0.0483
-57.5	0.0968	0.0739	0.0651
-52.5	0.1134	0.0905	0.0835
-47.5	0.1338	0.1109	0.1042
-42.5	0.1582	0.1353	0.1289
-37.5	0.1833	0.1604	0.1544
-32.5	0.2089	0.1860	0.1805
-27.5	0.2365	0.2136	0.2080
-22.5	0.2668	0.2432	0.2365
-17.5	0.2994	0.2755	0.2665
-12.5	0.3336	0.3091	0.2974
-7.5	0.3691	0.3433	0.3290
-2.5	0.4056	0.3794	0.3608
2.5	0.4412	0.4149	0.3971
7.5	0.4759	0.4496	0.4330
12.5	0.5101	0.4838	0.4684
17.5	0.5445	0.5174	0.5028
22.5	0.5777	0.5493	0.5359
27.5	0.6089	0.5799	0.5678
32.5	0.6377	0.6085	0.5978
37.5	0.6648	0.6354	0.6259
42.5	0.6908	0.6614	0.6532
47.5	0.7175	0.6881	0.6789
52.5	0.7457	0.7158	0.7020
57.5	0.7763	0.7455	0.7229
62.5	0.8090	0.7779	0.7425
67.5	0.8423	0.8086	0.7590
72.5	0.8740	0.8349	0.7710
77.5	0.8985	0.8504	0.7791
82.5	0.9131	0.8569	0.7839
87.5	0.9181	0.8587	0.7855
